STATE,YEAR,ELECTORAL_VOTES
RHODE ISLAND,2008,4
SOUTH CAROLINA,2008,8
SOUTH DAKOTA,2008,3
TENNESSEE,2008,11
TEXAS,2008,34
UTAH,2008,5
VERMONT,2008,3
VIRGINIA,2008,13
WASHINGTON,2008,11
WEST VIRGINIA,2008,5
WISCONSIN,2008,10
WYOMING,2008,3
ALABAMA,2012,9
ALASKA,2012,3
ARIZONA,2012,11
ARKANSAS,2012,6
CALIFORNIA,2012,55
COLORADO,2012,9
CONNECTICUT,2012,7
DISTRICT OF COLUMBIA,2012,3
DELAWARE,2012,3
FLORIDA,2012,29
GEORGIA,2012,16
HAWAII,2012,4
IDAHO,2012,4
ILLINOIS,2012,20
INDIANA,2012,11
IOWA,2012,6
KANSAS,2012,6
KENTUCKY,2012,8
LOUISIANA,2012,8
MAINE,2012,4
MARYLAND,2012,10
MASSACHUSETTS,2012,11
MICHIGAN,2012,16
MINNESOTA,2012,10
MISSISSIPPI,2012,6
MISSOURI,2012,10
MONTANA,2012,3
NEBRASKA,2012,5
NEVADA,2012,6
NEW HAMPSHIRE,2012,4
NEW JERSEY,2012,14
NEW MEXICO,2012,5
NEW YORK,2012,29
NORTH CAROLINA,2012,15
NORTH DAKOTA,2012,3
OHIO,2012,18
OKLAHOMA,2012,7
OREGON,2012,7
PENNSYLVANIA,2012,20
RHODE ISLAND,2012,4
SOUTH CAROLINA,2012,9
SOUTH DAKOTA,2012,3
TENNESSEE,2012,11
TEXAS,2012,38
UTAH,2012,6
VERMONT,2012,3
VIRGINIA,2012,13
WASHINGTON,2012,12
WEST VIRGINIA,2012,5
WISCONSIN,2012,10
WYOMING,2012,3
ALABAMA,2016,9
ALASKA,2016,3
ARIZONA,2016,11
ARKANSAS,2016,6
CALIFORNIA,2016,55
COLORADO,2016,9
CONNECTICUT,2016,7
DISTRICT OF COLUMBIA,2016,3
DELAWARE,2016,3
FLORIDA,2016,29
GEORGIA,2016,16
HAWAII,2016,4
IDAHO,2016,4
ILLINOIS,2016,20
INDIANA,2016,11
IOWA,2016,6
KANSAS,2016,6
KENTUCKY,2016,8
LOUISIANA,2016,8
MAINE,2016,4
MARYLAND,2016,10
MASSACHUSETTS,2016,11
MICHIGAN,2016,16
MINNESOTA,2016,10
MISSISSIPPI,2016,6
MISSOURI,2016,10
MONTANA,2016,3
NEBRASKA,2016,5
NEVADA,2016,6
NEW HAMPSHIRE,2016,4
NEW JERSEY,2016,14
NEW MEXICO,2016,5
NEW YORK,2016,29
NORTH CAROLINA,2016,15
NORTH DAKOTA,2016,3
OHIO,2016,18
OKLAHOMA,2016,7
OREGON,2016,7
PENNSYLVANIA,2016,20
RHODE ISLAND,2016,4
SOUTH CAROLINA,2016,9
SOUTH DAKOTA,2016,3
TENNESSEE,2016,11
TEXAS,2016,38
UTAH,2016,6
VERMONT,2016,3
VIRGINIA,2016,13
WASHINGTON,2016,12
WEST VIRGINIA,2016,5
WISCONSIN,2016,10
WYOMING,2016,3
ALABAMA,2020,9
ALASKA,2020,3
ARIZONA,2020,11
ARKANSAS,2020,6
CALIFORNIA,2020,55
COLORADO,2020,9
CONNECTICUT,2020,7
DISTRICT OF COLUMBIA,2020,3
DELAWARE,2020,3
FLORIDA,2020,29
GEORGIA,2020,16
HAWAII,2020,4
IDAHO,2020,4
ILLINOIS,2020,20
INDIANA,2020,11
IOWA,2020,6
KANSAS,2020,6
KENTUCKY,2020,8
LOUISIANA,2020,8
MAINE,2020,4
MARYLAND,2020,10
MASSACHUSETTS,2020,11
MICHIGAN,2020,16
MINNESOTA,2020,10
MISSISSIPPI,2020,6
MISSOURI,2020,10
MONTANA,2020,3
NEBRASKA,2020,5
NEVADA,2020,6
NEW HAMPSHIRE,2020,4
NEW JERSEY,2020,14
NEW MEXICO,2020,5
NEW YORK,2020,29
NORTH CAROLINA,2020,15
NORTH DAKOTA,2020,3
OHIO,2020,18
OKLAHOMA,2020,7
OREGON,2020,7
PENNSYLVANIA,2020,20
RHODE ISLAND,2020,4
SOUTH CAROLINA,2020,9
SOUTH DAKOTA,2020,3
TENNESSEE,2020,11
TEXAS,2020,38
UTAH,2020,6
VERMONT,2020,3
VIRGINIA,2020,13
WASHINGTON,2020,12
WEST VIRGINIA,2020,5
WISCONSIN,2020,10
WYOMING,2020,3
ALABAMA,2024,9
ALASKA,2024,3
ARIZONA,2024,11
ARKANSAS,2024,6
CALIFORNIA,2024,54
COLORADO,2024,10
CONNECTICUT,2024,7
DISTRICT OF COLUMBIA,2024,3
DELAWARE,2024,3
FLORIDA,2024,30
GEORGIA,2024,16
HAWAII,2024,4
IDAHO,2024,4
ILLINOIS,2024,19
INDIANA,2024,11
IOWA,2024,6
KANSAS,2024,6
KENTUCKY,2024,8
LOUISIANA,2024,8
MAINE,2024,4
MARYLAND,2024,10
MASSACHUSETTS,2024,11
MICHIGAN,2024,15
MINNESOTA,2024,10
MISSISSIPPI,2024,6
MISSOURI,2024,10
MONTANA,2024,4
NEBRASKA,2024,5
NEVADA,2024,6
NEW HAMPSHIRE,2024,4
NEW JERSEY,2024,14
NEW MEXICO,2024,5
NEW YORK,2024,28
NORTH CAROLINA,2024,16
NORTH DAKOTA,2024,3
OHIO,2024,17
OKLAHOMA,2024,7
OREGON,2024,8
PENNSYLVANIA,2024,19
RHODE ISLAND,2024,4
SOUTH CAROLINA,2024,9
SOUTH DAKOTA,2024,3
TENNESSEE,2024,11
TEXAS,2024,40
UTAH,2024,6
VERMONT,2024,3
VIRGINIA,2024,13
WASHINGTON,2024,12
WEST VIRGINIA,2024,4
WISCONSIN,2024,10
WYOMING,2024,3
ALABAMA,2028,9
ALASKA,2028,3
ARIZONA,2028,11
ARKANSAS,2028,6
CALIFORNIA,2028,54
COLORADO,2028,10
CONNECTICUT,2028,7
DISTRICT OF COLUMBIA,2028,3
DELAWARE,2028,3
FLORIDA,2028,30
GEORGIA,2028,16
HAWAII,2028,4
IDAHO,2028,4
ILLINOIS,2028,19
INDIANA,2028,11
IOWA,2028,6
KANSAS,2028,6
KENTUCKY,2028,8
LOUISIANA,2028,8
MAINE,2028,4
MARYLAND,2028,10
MASSACHUSETTS,2028,11
MICHIGAN,2028,15
MINNESOTA,2028,10
MISSISSIPPI,2028,6
MISSOURI,2028,10
MONTANA,2028,4
NEBRASKA,2028,5
NEVADA,2028,6
NEW HAMPSHIRE,2028,4
NEW JERSEY,2028,14
NEW MEXICO,2028,5
NEW YORK,2028,28
NORTH CAROLINA,2028,16
NORTH DAKOTA,2028,3
OHIO,2028,17
OKLAHOMA,2028,7
OREGON,2028,8
PENNSYLVANIA,2028,19
RHODE ISLAND,2028,4
SOUTH CAROLINA,2028,9
SOUTH DAKOTA,2028,3
TENNESSEE,2028,11
TEXAS,2028,40
UTAH,2028,6
VERMONT,2028,3
VIRGINIA,2028,13
WASHINGTON,2028,12
WEST VIRGINIA,2028,4
WISCONSIN,2028,10
WYOMING,2028,3
