STATE,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,REGION,PAST_5_ELECTION_VOTING,OUTCOME_2020,PREVIOUS_SENATE_OUTCOME,TOTAL_POPULATION,TOT_DEGREES,DEGREES_PER_CAPITA,UNEMPLOYMENT,PCT_OVER_60,GDP_MILLIONS,GDP_PER_CAPITA
New Hampshire,0.920678047,0.019717104,0.04493489,Northeast,0,0,0,1389007.305,134069.6429,0.096521913,4.623797101,0.285720017,94772.29714,0.068230237
New Jersey,0.699725598,0.151453923,0.23143879,Northeast,0,0,0,9076090.529,1136843.69,0.12525698,7.367173913,0.241035247,692426.5478,0.076291278
New Mexico,0.808952314,0.02706154,0.515789145,West,0.2,0,0,2234895.359,142123.2381,0.063592793,6.815304348,0.262404116,114712.8261,0.051328052
New York,0.680435802,0.175390714,0.206830672,Northeast,0,0,0,19854099.14,2571727.333,0.129531303,6.64684058,0.243417345,1898344.872,0.095614757
North Carolina,0.69297145,0.223805002,0.114472209,South,0.8,1,1,11241579.01,1063498.571,0.094604021,7.31942029,0.244070144,644773.8437,0.057356164
North Dakota,0.856610652,0.037860772,0.046861199,Midwest,1,1,1,802395.6489,90006.30952,0.112171981,3.160536232,0.219724409,69355.53665,0.086435584
Ohio,0.806922055,0.13409739,0.045948791,Midwest,0.6,1,0,11767595.51,1053739.333,0.089545849,7.049536232,0.257339288,738285.0368,0.062738818
Oklahoma,0.724640813,0.07772649,0.12934897,South,1,1,1,4154921.618,312916.6667,0.075312291,4.927072464,0.228401404,233244.9487,0.056137027
Oregon,0.853531265,0.023318315,0.15169258,West,0,0,0,4409555.238,483478.4048,0.109643349,6.303231884,0.268369523,266220.3233,0.060373509
Pennsylvania,0.800474887,0.125799311,0.09044285,Northeast,0.2,0,0,13059508.75,1375666.524,0.105338306,6.894304348,0.264709972,885624.6799,0.067814548
Rhode Island,0.818262506,0.091895699,0.181245216,Northeast,0,0,0,1053163.444,105048.0714,0.099745269,8.204753623,0.256090293,68514.03258,0.06505546
South Carolina,0.686115401,0.262830124,0.072016834,South,1,1,1,5447312.393,445055.881,0.08170192,6.672869565,0.267730986,262399.6541,0.04817048
South Dakota,0.830373557,0.02707391,0.049684129,Midwest,1,1,1,920688.6466,79826.2619,0.086702776,3.875782609,0.245098527,62372.36352,0.067745338
Tennessee,0.774965252,0.173034435,0.068866391,South,1,1,1,7154069.717,633418.1667,0.088539557,6.615927536,0.246838209,405609.5315,0.056696335
Texas,0.773162168,0.130836672,0.425593031,South,1,1,1,31333239.15,3000494.262,0.095760743,5.542405797,0.191535503,2067593.073,0.065987211
Utah,0.897027044,0.016316467,0.162638215,West,1,1,1,3466669.288,374871.2381,0.108135852,4.038942029,0.168993571,207326.7148,0.059805738
Vermont,0.934639676,0.01664379,0.023329057,Northeast,0,0,0.5,631363.5744,64939.40476,0.102855799,4.183362319,0.302383396,37882.80825,0.060001574
Virginia,0.678928178,0.197198222,0.114148438,South,0.2,0,0,9053696.47,1095541.571,0.121004893,5.400869565,0.235022421,621297.4129,0.068623619
Washington,0.766573247,0.045539674,0.149579488,West,0,0,0,8010184.398,946289.9524,0.118135851,6.38915942,0.24059071,645182.1325,0.080545228
West Virginia,0.928399034,0.037627058,0.02010721,South,1,1,1,1839993.932,117709.0714,0.063972532,6.457086957,0.291816033,87948.64381,0.047798334
Wisconsin,0.858628057,0.070820568,0.082114625,Midwest,0.2,0,0,5977810.73,556149.6429,0.093035673,5.702101449,0.255787712,379100.0589,0.063417876
Wyoming,0.917561701,0.015248894,0.115802375,West,1,1,1,628522.4955,52619.2381,0.083718942,4.993362319,0.251889908,49585.6442,0.078892394
